summary,party,speaker
"The politician advocates for the dismantling of Hamas in Gaza and opposes Palestinian statehood while Hamas remains in control, citing its rejection of Israel, use of violence, and support from Iran.",Con,Robert Halfon
"The politician believes Hamas and Hezbollah aim to destroy Israel and the Jewish people, and questions whether recognizing a Palestinian state would deter this.",DUP,Nigel Dodds
"The politician advocates for an immediate ceasefire based on mutual concessions between Israel, Hamas, and the Palestinian Authority, while criticizing Hamas’s actions and broader obstacles to a lasting peace agreement.",Con,Alistair Burt
The Foreign Secretary believes that Israeli actions are undermining the possibility of a two-state solution and advocates for equal treatment of Palestinians and Israelis.,Lab,Richard Burden
"The politician advocates for holding elections in Gaza under a new, unified organization and expresses concern about Hamas’s obstruction of this process.",Con,James Arbuthnot
"The politician advocates for a two-state solution, condemns Hamas’s actions and support by Iran, and criticizes Israeli policies impacting Palestinians as obstacles to peace.",Con,William Hague
"The politician advocates for strong condemnation of terrorism, supports Israel’s right to exist, and believes a lasting peace requires Palestinian adherence to democratic principles and acceptance of international norms.",Con,Bob Blackman
The Secretary of State believes Hamas’s terrorism and extremism are the primary obstacle to peace and advocates for measures to curtail its activities.,Lab,Ian Austin
"The politician advocates for unwavering support for Israel, citing Hamas’s rejection of Israel’s existence, ongoing attacks, and commitment to violence as justification.",Lab,Louise Ellman
The Foreign Secretary believes that Hamas’s commitment to destroying Israel prevents it from participating in any legitimate peace process.,Lab,John Woodcock
Mr. Arbuthnot believes a lasting resolution to the conflict requires Hamas to reject its rejection of Israel before meaningful negotiations can commence.,Con,Stewart Jackson
"The politician advocates for a resolution to the Israeli-Palestinian conflict, emphasizing the humanitarian crisis in Gaza caused by the blockade and occupation, and criticizes ongoing Israeli settlement policies.",Lab,Jeremy Corbyn
The politician opposes any agreement or engagement with Hamas due to its fundamentally different beliefs.,Lab,David Winnick
"The politician believes Hamas is an obstacle to peace due to its rejection of Israel, support for violence, and role in perpetuating a cycle of conflict.",Con,James Clappison
"The politician advocates for holding Hamas accountable for its actions, emphasizing the need for a negotiated settlement based on international principles and condemning Hamas’s use of civilians as human shields and deliberate targeting of Israelis.",Con,Andrew Percy
"The politician advocates for unrestricted access and economic activity in Gaza, believing this would undermine Hamas’s influence rather than the current situation.",Con,Alan Duncan
"The politician expresses deep disapproval of Israeli actions towards Palestinians, emphasizing the suffering of civilians and advocating for attention to the deteriorating conditions in the West Bank and East Jerusalem.",Lab,Gerald Kaufman
"The politician advocates for an end to Israeli restrictions on Gaza, arguing they worsen the humanitarian crisis and inadvertently support Hamas.",Con,Stephen O'Brien
"The Minister believes a lasting resolution requires direct negotiations between Israel and the Palestinians addressing core issues like borders, security, and mutual recognition before any international declarations can be considered.",Con,Matthew Offord
"The politician advocates for decisive action, including a policy recalibration towards Israel, regarding the expansion of illegal settlements and demands a move beyond condemnation to concrete measures.",Lab,Ben Bradshaw
The politician believes that continued Israeli settlement expansion and the undermining of Palestinian leadership exacerbate the conflict and hinder any possibility of a peaceful two-state solution.,LibDem,Menzies Campbell
"The Secretary of State expresses concern over civilian casualties in Gaza and the West Bank, advocating for Palestinian participation in negotiations and state recognition.",Lab,Lisa Nandy
Nicholas Soames advocates for continued support for moderate Arab and Palestinian leaders while criticizing the Israeli government’s actions and lack of engagement in diplomatic efforts.,LibDem,Martin Horwood
The politician advocates for the EU’s position that Israeli settlements are illegal and detrimental to the humanitarian situation and prospects for a two-state solution.,Lab,Alex Cunningham
The politician opposes Palestinian statehood and enhanced recognition due to concerns about Hamas’s continued violence.,DUP,Jim Shannon
"The politician advocates for Palestinian rights, criticizes Israeli actions regarding settlements and human rights abuses, and believes a negotiated solution requires a settlement freeze.",Lab,Andrew Slaughter
The politician believes that a lasting peace in the region is contingent upon Hamas accepting recognition of Israel and abiding by international agreements.,Con,Mike Freer
"The politician advocates for a two-state solution with East Jerusalem as a shared capital, expressing concern over Israeli actions that hinder its feasibility.",LibDem,Jeremy Browne
"The politician advocates for continued negotiations between Israel and the Palestinians, emphasizing the need for deterrence and a political resolution to the conflict, despite acknowledging Hamas’s terror tactics.",Lab,Douglas Alexander
"The politician advocates for a strengthened international effort for peace negotiations, while condemning Hamas’s actions and support for terrorism.",Lab,Michael McCann
"The politician advocates for a negotiated resolution to the conflict, expressing skepticism towards Hamas and the Egyptian government as mediators and highlighting the need for restraint to prevent further violence.",Lab,Mike Gapes
"The politician advocates for a strong response to Hamas’s actions, citing violations of international law and acknowledging the complex humanitarian situation while condemning terrorism.",Con,Bob Stewart
"The Foreign Secretary opposes the implementation of the E1 plan, believing it would severely damage any possibility of a Palestinian state.",Lab,Mark Hendrick
"The politician believes Hamas is unacceptable, opposes the creation of a Palestinian state due to a lack of political will and ongoing Israeli actions restricting Palestinian land and movement.",Con,John Stanley
The politician advocates for the protection of civilians and the upholding of international law in response to reported human rights abuses and displacement in the region.,Lab,Yasmin Qureshi
"The politician advocates for a strong, firm response to Hamas’s actions and rejects any suggestion of equivalence between Hamas’s violence and Israeli actions.",Con,David Burrowes
"The politician advocates for an independent international investigation into the conflict and criticizes both Hamas’ actions and the Israeli response, arguing for restraint and accountability.",Lab,Jack Straw
"The politician opposes any engagement with the Palestinian government if individuals are linked to Hamas, which they consider a terrorist organization.",Con,Hugh Robertson
"The politician advocates for a peaceful resolution to the Israeli-Palestinian conflict, expressing concern about the humanitarian impact on civilians in Gaza and the potential for increased radicalization resulting from military action, alongside opposition to Israeli settlements.",Lab,Grahame M Morris
