summary,party,speaker
"The politician believes that addressing fuel poverty requires focusing on improving the energy efficiency of homes, rather than relying on speculative policies regarding fuel prices.",LibDem,Roger Williams
"The politician opposes government support for renewable energy projects, particularly those impacting local jobs and expressing skepticism regarding the benefits of fracking while prioritizing community concerns.",Lab,Ian Lucas
"The politician opposes the Welsh Government’s ability to independently determine energy policy, including renewable energy, and questions the UK’s diminished position in the renewable energy sector following reported declines in industry stature and rejected onshore wind proposals.",Lab,Huw Irranca-Davies
"The politician opposes cuts to energy efficiency schemes and argues that reducing investment in insulation contradicts efforts to reduce energy bills and address fuel poverty, particularly for those in rural areas.",Lab,Jonathan Reynolds
"The politician advocates for greater transparency and regulation of energy companies, particularly concerning pricing practices and access to cheaper tariffs, while expressing concern about the lack of progress on diverse energy sources like tidal energy and shale gas, and criticising the carbon price floor.",Lab,Albert Owen
"The politician prioritizes immediate transport needs, particularly for Plymouth, and expresses skepticism regarding the rapid implementation of widespread electrification of transport, citing unresolved infrastructure issues.",Lab,Alison Seabeck
"The Prime Minister believes that exploring for more oil and gas, including shale gas, is irrational and incompatible with the UK’s commitment to avoiding catastrophic climate change, prioritizing cheaper renewable energy sources and dismissing concerns about high energy bills.",GPEW,Caroline Lucas
"The politician believes the government’s policies are exacerbating the cost-of-living crisis and opposes the current approach to energy efficiency schemes, favouring a price freeze.",Lab,Emma Lewell-Buck
"The politician advocates for increased domestic energy production, particularly nuclear and shale gas, and opposes measures that could diminish the Energy Act 2013’s support for long-term energy contracts.",Con,Christopher Pincher
"The politician opposes investment in low-carbon energy, criticizes the government’s record on fuel poverty and energy efficiency schemes, and expresses concern about delays to renewable energy projects, suggesting these actions undermine investment and energy security.",Lab,Julie Elliott
"The politician opposes increased EU targets for renewable energy, believing they would raise electricity prices and contradict support for a diverse range of energy technologies.",Con,Michael Fallon
"The politician advocates for a single, regulated energy market for Scotland and the UK, expressing concern about fuel poverty and the lack of access to affordable energy for consumers without access to the gas grid.",Lab,Fiona O'Donnell
The politician opposes shale gas extraction due to concerns about its potential negative impacts on local communities and property values.,Lab,Barbara Keeley
"The politician supports shale gas development to stimulate economic growth and reduce energy costs, while opposing measures that impose burdens on businesses, particularly those related to the European Union.",Con,David Lidington
"The politician advocates for a cautious approach to climate change, prioritizing energy security and economic considerations over immediate, sweeping decarbonization targets, and expressing skepticism about the feasibility and cost-effectiveness of carbon capture and storage technology.",Con,David Cameron
"The Minister believes solar farms should be located on previously developed land, such as rooftops and industrial sites, rather than agricultural land.",Con,Brooks Newmark
"The politician opposes measures promoting fossil fuel extraction, particularly fracking, and expresses concern regarding the lack of clarity and potential risks associated with shale gas development, while questioning the government’s incentives for this industry.",Lab,Joan Walley
"The politician advocates for a new, independent consumer regulator for the energy market to protect households from overcharging and prioritize customer interests over company profits.",Con,Robert Halfon
The politician believes the current government prioritizes energy companies over ordinary people’s financial difficulties and advocates for a Labour government to address the cost of living crisis through measures like breaking up energy monopolies.,Lab,Anas Sarwar
The politician believes the government is failing to adequately address energy costs and is concerned about potential concessions regarding compensation for affected industries.,Lab,Derek Twigg
"The politician believes that the government’s efforts to address climate change through measures like the Green Deal and contracts for offshore wind are failing, citing concerns about investment, high costs, and a lack of trust in energy companies, and expressing skepticism about fracking and nuclear energy.",SNP,Michael Weir
"The politician expresses concerns regarding government inaction on renewable energy, criticism of energy companies' profits and consumer protection failures, and skepticism about the potential of fracking.",Lab,Nia Griffith
The Member for Angus opposes measures to control energy prices and suggests the government should prioritize freezing prices to alleviate the cost of living crisis.,Lab,William Bain
The Prime Minister opposes an energy price freeze and criticizes the government's response to rising energy costs.,Lab,Stephen Doughty
"The politician opposes the development of onshore wind farms, particularly in areas of natural beauty like mid-Wales, and prioritizes the financial interests of wind farm companies over public concerns and democratic processes.",Con,Glyn Davies
"The politician opposes the development of offshore wind farms, particularly in Hull, and prioritizes maintaining the profits of energy companies over addressing rising energy costs and protecting vulnerable people.",Lab,Diana Johnson
The politician believes the government is failing to invest sufficiently in renewable energy sources and that it is crucial to prioritize the benefits for local communities when considering new energy solutions.,Lab,Barry Sheerman
"The Secretary of State opposes large solar farms on agricultural land and prioritizes maintaining the existing warm home discount system, despite concerns about its accessibility.",Con,James Gray
"The politician opposes changes to green energy levies that have disrupted energy efficiency schemes, impacted local jobs, and denied financial assistance to constituents seeking to improve their homes’ energy performance.",Lab,Lilian Greenwood
"The politician expresses uncertainty regarding the reliability of renewable energy sources to meet emissions targets and suggests a cautious approach, favoring carbon capture and storage technology while questioning the economic viability and potential reliance on taxpayer funding.",Con,Tim Yeo
The politician opposes rapid transitions to renewable energy and dismisses proposals like energy price freezes as unrealistic and misguided.,Con,Andrew Percy
"The politician believes high energy prices are primarily caused by the adoption of technologies aimed at reducing carbon emissions, rather than company profits.",Con,John Redwood
"The politician prioritizes investment in renewable energy sources, particularly offshore wind, and expresses concern about government policy confusion hindering sustainable energy development, while questioning the impact of reducing the energy company obligation.",Lab,Mark Lazarowicz
"The politician opposes policies promoting renewable energy and low-carbon capacity, expressing concern over bureaucratic obstacles, high costs, and the unsuitability of shale gas extraction for long-term energy security.",Lab,Alan Whitehead
