summary,party,speaker
The politician believes Hamas is a terrorist group that must be removed from Gaza to ensure Israel's security and prevent aid misuse.,Con,Robert Halfon
This politician opposes groups like Hamas and Hezbollah due to their stated goal of Israel's destruction. They question whether recognizing a Palestinian state would stop these groups and their supporters (like Iran) from continuing their opposition to Israel.,DUP,Nigel Dodds
"This politician believes Hamas is not committed to the peace process and has failed to make necessary commitments or take positive actions. Hamas is obstructing peace efforts and not fulfilling its obligations. The humanitarian situation in Gaza is linked to the ongoing inability to reach a Middle East peace agreement, with all involved parties, including Hamas and Israel, failing to compromise.",Con,Alistair Burt
"The politician believes Israel's actions, including settlement building and restrictions in East Jerusalem, harm the two-state solution and are detrimental to peace efforts. They question the preconditions for Hamas participating in peace talks and express concern about Israel's treatment of NGOs working in the region.",Lab,Richard Burden
"The politician believes Hamas should allow elections in Gaza, as its electoral mandate has expired, and opposes Hamas's position if it leads to reconciliation that is ineffective or harmful.",Con,James Arbuthnot
"The politician opposes Hamas because it uses violence, refuses to recognize Israel's right to exist, and supports terrorism, and believes Hamas's actions harm the peace process and the humanitarian situation in Gaza, while criticizing Israeli policies that exacerbate the crisis.",Con,William Hague
"This politician believes attacks by Hamas, Hezbollah, and Islamic Jihad make peace harder and must be condemned. They support Israel against terrorism and believe Hamas opposes Israeli existence and the peace process. The politician thinks Hamas prevents Palestinian progress towards a proper state.",Con,Bob Blackman
"The politician views Hamas as the primary obstacle to peace, citing its violent actions, refusal to negotiate, and use of civilian spaces. They believe Hamas's extremism and rejection of peace talks, not Israeli settlements, are the biggest barriers.",Lab,Ian Austin
"This politician views Hamas as a terrorist organisation committed to Israel's destruction and responsible for attacks, including against civilians and educational institutions. They believe Hamas must be condemned and do not consider them negotiable. The politician holds that Iran is actively undermining peace by supporting Hamas and Hezbollah. They support Israel's right to defend itself against Hamas and do not credit Israel's security arrangements. The politician rejects the two-state solution and criticises the withdrawal from Gaza in 2005, linking it to Hamas gaining control and escalating violence. They see Hamas's refusal to recognise Israel's existence as the core obstacle to peace. The politician also expresses concern about anti-Semitism being associated with criticism of Israel.",Lab,Louise Ellman
The politician insists the UK government must insist that Hamas renounces violence and unequivocally recognizes Israel's right to exist before it can participate in any peace process.,Lab,John Woodcock
This politician believes that Hamas cannot be part of peace talks until it renounces its goal of Israel's destruction. They support a Palestinian state negotiated with Israel and backed by the UN and EU. They oppose unilateral recognition of Palestinian statehood by groups like Hamas and Fatah.,Con,Stewart Jackson
"The politician believes Israeli actions like settlement expansion and military operations hinder peace and create a severe humanitarian crisis in Gaza. They argue these actions, along with a blockade and restrictions, constitute a man-made tragedy and call for changes to improve conditions in Gaza.",Lab,Jeremy Corbyn
"This politician opposes Hamas due to its fundamentalist ideology, which is completely different from their own beliefs and political views.",Lab,David Winnick
"This politician believes Hamas is an obstacle to peace because it refuses to recognize Israel, follows existing agreements, or stop rocket attacks. Hamas undermines the peace process and is responsible for the cycle of violence in Gaza, which is described as a deeply depressing situation for its civilian population. The politician supports Israel's position and opposes Hamas, including any unity deal with Hamas involving the Palestinian Authority.",Con,James Clappison
"The politician supports Israel's right to self-defence against Hamas attacks and believes Israel's actions are not inherently disproportionate. They view Hamas's attacks and undermining of peace talks as unacceptable and call for Hamas to accept international principles and return to negotiations. They condemn Hamas for deliberately targeting civilians and hiding among them, describing such actions as war crimes.",Con,Andrew Percy
The politician opposes Hamas benefiting from the current access system in Gaza and wants improved trade and economic access there. They also express doubts about the Palestinian authority's legitimacy.,Con,Alan Duncan
"This politician opposes the Israeli law against boycotts, expresses concern for Palestinian civilians affected by Israeli actions, and calls for more attention from the UK government to the situation in the West Bank and East Jerusalem.",Lab,Gerald Kaufman
"This politician acknowledges Israel's security concerns but believes the current restrictions harm Gazans and strengthen Hamas, worsening the humanitarian crisis.",Con,Stephen O'Brien
"This politician believes a lasting resolution requires direct negotiations between Israel and Palestine covering all key issues like recognition, security, borders, Jerusalem, settlements, and refugees. They oppose international declarations or premature statehood recognition that bypass these fundamental negotiations.",Con,Matthew Offord
"The politician opposes the expansion of Israeli settlements in Palestinian territories, views it as a major barrier to peace talks, and believes stronger international action is needed against Israel, including the potential suspension of arms supplies. They also emphasize the need to address the humanitarian crisis in Gaza.",Lab,Ben Bradshaw
"The politician opposes Israeli settlement construction and the demolition of Palestinian homes, stating these actions undermine the prospects for a two-state solution and a viable Palestinian state. They also criticize Palestinian leadership, suggesting their actions or policies, including supporting Hamas, weaken the authority of figures like Mahmoud Abbas and make a peaceful resolution harder.",LibDem,Menzies Campbell
The politician opposes measures undermining humanitarian aid in the West Bank and East Jerusalem and calls for the UK Government to urgently recognise a Palestinian state to restart meaningful peace negotiations.,Lab,Lisa Nandy
"This politician opposes actions that could strengthen terrorism and undermine Middle Eastern democracy. They believe Israel's policies, like settlements, hinder peaceful coexistence. They want the UK to adopt a consistent strategy supporting pluralism and peaceful change in the region, expressing concern about current UK support being inconsistent.",LibDem,Martin Horwood
"The politician believes Israel's actions in Jerusalem and the West Bank, including settlement building and restrictions on Palestinian rights, are illegal and constitute a humanitarian crisis that undermines the two-state solution, and calls on the EU to take action against companies supporting these actions.",Lab,Alex Cunningham
"This politician believes that because Palestine is associated with Hamas terrorism, it should not receive enhanced recognition until it distances itself from Hamas.",DUP,Jim Shannon
"The politician criticizes Israel for refusing international cooperation on settlements and for ongoing violence and human rights abuses in Palestine, including in Gaza. They believe Israel's actions, like refusing a settlement freeze, prevent peace talks and endanger Palestinian civilians. They argue that Western governments must distinguish between Israel and Hamas.",Lab,Andrew Slaughter
This politician supports the two-state solution and agrees that Hamas accepting the Quartet principles is essential for peace.,Con,Mike Freer
The politician believes Israel's expansion of settlements and construction of the separation barrier are making it harder for East Jerusalem to function as the capital of a future Palestinian state and are obstructing the two-state solution.,LibDem,Jeremy Browne
"This politician supports negotiations between Israel and the Palestinians, criticizes settlement building, urges restraint but questions its effectiveness against Hamas, and links ending the violence and improving the humanitarian situation to a political agreement.",Lab,Douglas Alexander
"The politician views Iran's actions, including its support for Hamas and rejection of international norms like UN resolutions, as a major threat to peace and security in the Middle East. They strongly condemn the humanitarian crisis in Gaza, highlighting the suffering of Palestinian civilians, including children, and accuse Hamas of using innocent people as tools for its political goals. The politician insists that the priority must be renewed efforts for peace talks to resolve the conflict.",Lab,Michael McCann
