anchor,topic,predicted_ordering,gold_ordering,summarization_model,embedding_model,external_model,kendall_tau,spearman_rho,kendall_p,lcs_ratio,spearman_p
"{'topic': ""Hamas's culpability for the conflict versus Israel's culpability for the conflict."", 'pro': ""Hamas bears primary responsibility for the ongoing conflict due to its violent actions, refusal to recognize Israel's existence, and stated goals of destruction."", 'con': 'Israel bears primary responsibility for the conflict due to its security actions, settlement building, and policies that exacerbate the humanitarian crisis.'}",Gaza,"['DUP', 'Lab', 'Con', 'LibDem']","['Lab', 'LibDem', 'SDLP', 'Con', 'DUP']",deepseek-r1:8b,Qwen/Qwen3-Embedding-0.6B,GPT-5.4 Thinking,0.5561,0.7126,0.0,0.5789,0.0
"{'topic': 'The Legitimacy of Hamas', 'pro': 'Hamas’s actions, including its rejection of a negotiated settlement and ongoing rocket attacks, disqualify it from participating in any peace process and necessitate a firm stance against its ideology.', 'con': 'Hamas’s commitment to Israel’s destruction disqualifies it from participating in any peace process and prioritizes adherence to the Quartet’s principles.'}",Gaza,"['DUP', 'LibDem', 'Con', 'Lab']","['Con', 'Lab', 'LibDem', 'SDLP']",gemma3,Qwen/Qwen3-Embedding-0.6B,GPT-5.4 Thinking,0.5327,0.6368,0.0001,0.6129,0.0002
"{'topic': ""Hamas's culpability for the conflict versus Israel's culpability for the conflict."", 'pro': ""Hamas bears primary responsibility for the ongoing conflict due to its violent actions, refusal to recognize Israel's existence, and stated goals of destruction."", 'con': 'Israel bears primary responsibility for the conflict due to its security actions, settlement building, and policies that exacerbate the humanitarian crisis.'}",Gaza,"['LibDem', 'Lab', 'Con', 'DUP']","['Lab', 'LibDem', 'SDLP', 'Con', 'DUP']",deepseek-r1:8b,Qwen/Qwen3-Embedding-4B,GPT-5.4 Thinking,0.771,0.8845,0.0,0.7632,0.0
"{'topic': 'Should Israel’s military operations in Gaza be considered a legitimate response to Hamas’s rocket attacks, or a disproportionate use of force violating international humanitarian law?', 'pro': 'Military operations are justified as a necessary response to sustained rocket fire targeting Israeli civilians, and proportionality is determined by Hamas’s refusal to cease hostilities or release hostages.', 'con': 'The scale of civilian casualties and destruction of infrastructure in Gaza constitutes a war crime, as the disproportionate harm far exceeds the military necessity of dismantling Hamas’s capabilities.'}",Gaza,"['Con', 'DUP', 'Lab', 'LibDem']","['Lab', 'LibDem', 'SDLP', 'Con']",ministral-3:8b,Qwen/Qwen3-Embedding-4B,GPT-5.4 Thinking,-0.3333,-0.5,1.0,0.6667,0.6667
"{'topic': 'Should Israel’s military operations in Gaza be considered a legitimate response to Hamas’s rocket attacks, or a disproportionate use of force violating international humanitarian law?', 'pro': 'Military operations are justified as a necessary response to sustained rocket fire targeting Israeli civilians, and proportionality is determined by Hamas’s refusal to cease hostilities or release hostages.', 'con': 'The scale of civilian casualties and destruction of infrastructure in Gaza constitutes a war crime, as the disproportionate harm far exceeds the military necessity of dismantling Hamas’s capabilities.'}",Gaza,"['Con', 'DUP', 'Lab', 'LibDem']","['Lab', 'LibDem', 'SDLP', 'Con']",ministral-3:8b,Qwen/Qwen3-Embedding-0.6B,GPT-5.4 Thinking,-0.3333,-0.5,1.0,0.6667,0.6667
"{'topic': 'Should Israel’s military operations in Gaza be considered a legitimate response to Hamas’s rocket attacks, or a disproportionate use of force violating international humanitarian law?', 'pro': 'Military operations are justified as a necessary response to sustained rocket fire targeting Israeli civilians, and proportionality is determined by Hamas’s refusal to cease hostilities or release hostages.', 'con': 'The scale of civilian casualties and destruction of infrastructure in Gaza constitutes a war crime, as the disproportionate harm far exceeds the military necessity of dismantling Hamas’s capabilities.'}",Gaza,"['Con', 'DUP', 'Lab', 'LibDem']","['Lab', 'LibDem', 'SDLP', 'Con']",ministral-3:8b,Qwen/Qwen3-Embedding-0.6B,GPT-5.4 Thinking,-0.3333,-0.5,1.0,0.6667,0.6667
"{'topic': 'Should Hamas be recognized as a legitimate political entity in any peace process?', 'pro': ""Hamas's commitment to Israel's destruction and refusal to renounce violence disqualify it from participating in negotiations."", 'con': ""Hamas's political legitimacy should be assessed based on its actions, not preconditions, to enable meaningful dialogue.""}",Gaza,"['Con', 'Lab', 'DUP', 'LibDem']","['SDLP', 'LibDem', 'Lab', 'Con', 'DUP']",qwen3:8b,Qwen/Qwen3-Embedding-0.6B,GPT-5.4 Thinking,-0.3333,-0.4,0.75,0.5,0.6
"{'topic': 'Whether the state should prioritize investment in energy efficiency measures for homes compared to investment in renewable energy sources.', 'pro': 'Prioritizing energy efficiency reduces immediate energy bills for households, particularly vulnerable populations, and addresses the root cause of fuel poverty through improved insulation and reduced demand.', 'con': 'Focusing solely on energy efficiency neglects the urgent need to decarbonize the energy supply and transition away from fossil fuels, delaying the shift to genuinely sustainable energy sources.'}",climate change,"['SNP', 'UKIP', 'GPEW', 'Con', 'Lab', 'LibDem']","['UKIP', 'SNP', 'Con', 'GPEW', 'Lab', 'LibDem']",gemma3,Qwen/Qwen3-Embedding-0.6B,GPT-5.4 Thinking,0.7333,0.8857,0.0556,0.6667,0.0188
"{'topic': 'Whether climate policies should prioritize economic affordability or environmental goals', 'pro': 'Policies should focus on affordable energy solutions like fossil fuels and nuclear power to protect consumers and businesses.', 'con': 'Climate action must prioritize decarbonization and renewable energy regardless of short-term costs to address the climate crisis.'}",climate change,"['GPEW', 'SNP', 'UKIP', 'Lab', 'Con', 'LibDem']","['GPEW', 'LibDem', 'SNP', 'Lab', 'Con', 'UKIP']",deepseek-r1:8b,Qwen/Qwen3-Embedding-0.6B,GPT-5.4 Thinking,0.2,0.2571,0.7194,0.6667,0.6228
"{'topic': 'Whether energy policy should prioritize renewable subsidies or fossil fuel support', 'pro': 'Subsidies for wind, solar, and biomass are essential to accelerate decarbonization, reduce reliance on fossil fuels, and address climate risks despite high costs.', 'con': 'Subsidies for renewables distort markets, raise energy costs, and harm competitiveness; fossil fuels and nuclear power should be prioritized for affordability and energy security.'}",climate change,"['LibDem', 'UKIP', 'SNP', 'Con', 'Lab', 'GPEW']","['UKIP', 'Con', 'Lab', 'SNP', 'LibDem', 'GPEW']",qwen3:8b,Qwen/Qwen3-Embedding-0.6B,GPT-5.4 Thinking,0.2,0.2571,0.7194,0.6667,0.6228
