summary,party,speaker
"The politician views Hamas as a terrorist entity responsible for the humanitarian crisis in Gaza, calls for its removal from power, and supports actions to stop Hamas's funding and weapon supply. They emphasize the need to address Hamas's misuse of aid for military purposes and reject Palestinian state recognition while Hamas remains in control.",Con,Robert Halfon
The politician argues that groups like Hamas and Hezbollah seek Israel's destruction and questions whether recognizing a Palestinian state would stop their support for Israel's annihilation.,DUP,Nigel Dodds
"The politician criticizes Hamas for failing to meet commitments, condemns Israel's policies in Jerusalem, calls for an urgent ceasefire, and emphasizes the need for Palestinian Authority to stop incitement and make concessions to achieve peace, while highlighting the ongoing humanitarian crisis in Gaza.",Con,Alistair Burt
"The politician opposes Israeli actions harming Palestinians, criticizes UK inaction on Gaza's humanitarian crisis, supports NGOs working in the region, and argues that settlement expansion and occupation undermine the two-state solution, advocating for equal treatment of Palestinians and Israelis.",Lab,Richard Burden
"The politician opposes Hamas' refusal to allow elections in Gaza, views Hamas as illegitimate due to its expired mandate, and warns that any reconciliation efforts aligned with Hamas would be ineffective or worsen the situation.",Con,James Arbuthnot
"The politician criticizes Iranian support for Hamas and Hezbollah as undermining Middle East peace, condemns Israeli settlement expansion and blockades on Gaza for harming Palestinians and strengthening Hamas, and blames Hamas for blocking peace through violence and rejecting Israel's right to exist, while also highlighting the humanitarian crisis in Gaza caused by ongoing conflict and restrictions.",Con,William Hague
"The politician supports Israel's security and condemns violence by Hamas, Hezbollah, and Islamic Jihad, arguing their actions undermine peace efforts. They criticize Hamas for rejecting elections and opposing Israel's right to exist, while acknowledging Fatah's willingness to pursue a democratic state. The politician warns that continued settlements in East Jerusalem will make a Palestinian state unlikely and emphasizes the need for humanitarian aid without provoking further conflict.",Con,Bob Blackman
"The politician argues that Hamas is the primary obstacle to peace due to its extremist actions, including using civilian infrastructure for attacks and threatening leaders, and calls for addressing Iran's support for Hamas and other groups while emphasizing the need to counter terrorism in the region.",Lab,Ian Austin
"The politician views Hamas as a terrorist organisation committed to Israel's destruction, rejects its claims of seeking peace, and attributes the conflict to external actors like Iran arming groups such as Hamas and Hezbollah. They argue that unresolved issues like borders, Jerusalem, and refugees hinder peace negotiations, support Israel's defensive actions against Hamas attacks, and express concern about anti-Zionism being conflated with anti-Semitism, while linking the 2005 Gaza withdrawal to increased rocket attacks by Hamas.",Lab,Louise Ellman
"The politician asserts that Hamas cannot participate in a peace process while remaining committed to Israel's destruction and demands the UK government explicitly prioritize Quartet principles, which include recognizing Israel's right to exist and rejecting violence, as a prerequisite for any dialogue with Hamas.",Lab,John Woodcock
"The politician believes Hamas must renounce its stance that Israel should not exist to engage in peace talks, is skeptical of cooperation between Hamas and Fatah due to their focus on unilateral recognition of Palestinian statehood, and advocates for a negotiated two-state solution involving international bodies like the UN and EU.",Con,Stewart Jackson
"The politician criticizes Israeli actions such as settlement expansion, military operations, and blockades on Gaza, arguing they hinder peace and exacerbate the humanitarian crisis, while condemning the UK and EU for inaction and highlighting the suffering of Gazans due to restricted movement, polluted water, and ongoing conflict.",Lab,Jeremy Corbyn
"The politician opposes Hamas, condemns its ideology as incompatible with their values, and supports a two-state solution for Palestine and Israel, while criticizing the humanitarian crisis in Gaza and advocating for diplomatic efforts to end violence.",Lab,David Winnick
"The politician opposes Hamas due to its refusal to recognize Israel, its role in escalating violence through rocket attacks and tunnels, and its impact on Gaza's humanitarian crisis, while criticizing the Palestinian Authority for collaborating with Hamas and undermining peace efforts.",Con,James Clappison
"The politician supports a negotiated settlement for the Israeli-Palestinian conflict but criticizes Hamas for obstructing peace talks through attacks and undermining negotiations, urging international pressure to enforce Quartet principles. They defend Israel's actions against Hamas, arguing that civilian casualties should not justify condemning Israel's response, and condemn Hamas for using civilians as shields and targeting Israelis, calling it a war crime.",Con,Andrew Percy
"The politician criticizes the current system allowing limited access to Gaza, arguing it unfairly benefits Hamas while harming civilians, and supports greater free movement and trade to improve Gaza's economy and reduce Hamas's influence.",Con,Alan Duncan
"The politician supports Israel's right to defend itself against Hamas and criticizes actions harming civilians, while calling for more attention to the West Bank and East Jerusalem rather than Gaza.",Lab,Gerald Kaufman
"The politician criticizes Israel's current access and economic restrictions in Gaza, arguing they fuel radicalization, empower Hamas, harm civilians, and undermine education by forcing children into extremist-run schools.",Con,Stephen O'Brien
"The politician argues that resolving the conflict requires a bilateral agreement between Israel and Palestinians on key issues like security, borders, settlements, and refugees, and that UN declarations or premature recognition of statehood without addressing these issues are ineffective and avoid the necessary negotiations.",Con,Matthew Offord
"The politician criticizes Israel's expansion of illegal settlements in Palestine, argues that verbal condemnation has failed to stop Netanyahu's policies, calls for concrete action against settlements, and accuses the UK of hypocrisy by supporting Israel militarily while withholding aid from Ukraine and the Kurds.",Lab,Ben Bradshaw
"The politician argues that Israeli actions, including home demolitions and settlement expansions in the West Bank and East Jerusalem, hinder a viable Palestinian state, undermine Palestinian leadership, and justify violence in Gaza, while insisting East Jerusalem must be the capital of any future Palestinian state.",LibDem,Menzies Campbell
"The politician is concerned about actions undermining humanitarian aid in the West Bank and East Jerusalem, calls for condemnation of harmful practices, and argues that recognizing Palestinian statehood is essential for meaningful peace negotiations rather than a result of them, while emphasizing the need to prevent further loss of life.",Lab,Lisa Nandy
"Nicholas Soames criticizes actions that empower extremist groups like Hamas and Hezbollah, supports Israel's security against civilian targeting, and calls for a consistent British strategy to back democratic movements in the Middle East while opposing policies that hinder peace and stability.",LibDem,Martin Horwood
"The politician opposes Israeli settlements in East Jerusalem, calling them illegal and emphasizing their role in displacing Palestinians and isolating West Bank cities. They highlight the humanitarian crisis caused by barriers, checkpoints, and restricted movement, stressing the impact on families and the threat to a two-state solution. The politician urges the EU and UK to take stronger action against entities supporting the occupation.",Lab,Alex Cunningham
"The politician argues that Palestine has not distanced itself from Hamas terrorism and brutality, therefore opposing enhanced recognition for Palestine until this issue is resolved, while emphasizing the ongoing humanitarian crisis and violence in Gaza and Jerusalem.",DUP,Jim Shannon
"The politician criticizes Israel's refusal to cooperate with UN investigations into illegal settlements, highlights rising settler violence, ethnic cleansing in Jerusalem, and mistreatment of Palestinian prisoners, argues that Netanyahu's rejection of a settlement freeze undermines negotiations, and warns that failing to distinguish between Hamas and Israel's actions risks continued civilian deaths and Palestinian annexation.",Lab,Andrew Slaughter
"The politician believes Hamas must accept the Quartet principles—recognizing Israel, upholding past agreements, and renouncing violence—for any peace process to succeed, as Hamas's refusal is a key barrier to lasting peace in the region.",Con,Mike Freer
"The politician criticizes Israel's expansion of settlements and construction of a barrier that separates East Jerusalem from the West Bank, making it harder for East Jerusalem to serve as a future Palestinian capital and complicating efforts to establish a two-state solution.",LibDem,Jeremy Browne
"The politician advocates for renewed negotiations between Israel and Palestine to achieve a two-state solution, emphasizes the risks of Hamas gaining influence due to political instability, and stresses that only a political agreement can end the violence and ensure long-term security in Gaza.",Lab,Douglas Alexander
"The politician criticizes Iran's support for Hamas, its nuclear ambitions, and rejection of UN resolutions, condemns Hamas for using Palestinian civilians as pawns in conflict, and calls for intensified peace talks to address the humanitarian crisis in Gaza.",Lab,Michael McCann
"The politician criticizes Israel's handling of the Mavi Marmara incident, highlights Hamas's rejection of Egyptian mediation, and notes ongoing civilian casualties in Sinai linked to Gaza, suggesting frustration with both sides' approaches to resolving the conflict.",Lab,Mike Gapes
"The politician supports Israel's actions against Hamas, citing Hamas's rocket attacks and violations of humanitarian law, while highlighting the humanitarian crisis in Gaza and restrictions on Palestinian movement.",Con,Bob Stewart
"The politician believes the E1 plan would severely hinder the two-state solution by isolating East Jerusalem from other Palestinian territories, making a viable Palestinian state with East Jerusalem as its capital nearly impossible, and limiting the area's growth and economic potential.",Lab,Mark Hendrick
"The politician opposes Hamas's actions, criticizes Israel's policies in East Jerusalem and Gaza, and advocates for a viable Palestinian state while expressing skepticism about its feasibility due to ongoing political and territorial challenges.",Con,John Stanley
"The politician highlights severe human rights abuses in Palestine, including forced displacement of Palestinians in Jerusalem, and draws parallels to the UN-recognized violations in Burma, emphasizing international law breaches and humanitarian crises.",Lab,Yasmin Qureshi
"The politician believes Hamas's refusal to negotiate and its attacks on Israeli civilians make a peaceful resolution unlikely, and supports Israel's military response to protect lives, while criticizing Hamas's actions that contribute to the humanitarian crisis in Gaza.",Con,David Burrowes
"The politician criticizes Israel's disproportionate military response in Gaza, which resulted in significant civilian casualties, while condemning Hamas's attacks on Israeli civilians. They argue that the US should continue negotiations to resolve the conflict and warn that the UK, Germany, France, and the EU may act independently if US actions block peace efforts.",Lab,Jack Straw
"The politician supports cutting ties with Hamas as a terrorist group and emphasizes the need for evidence to hold any government accountable, while expressing skepticism about claims against Hamas without concrete proof.",Con,Hugh Robertson
"The politician criticizes Israeli restrictions on access to Gaza, highlights the suffering of Palestinians in occupied territories and refugee camps, and argues that military actions against Hamas will radicalize more people, undermine peace efforts, and oppose the expansion of Israeli settlements in the West Bank.",Lab,Grahame M Morris
"The politician criticizes Iran's support for Hamas and other militant groups, highlights Iran's destabilizing role in the Middle East through funding and military backing, and emphasizes Iran's disregard for international law, including UN resolutions, while noting Hamas's growing isolation in the Arab world.",Con,Richard Ottaway
"The politician opposes Hamas's violence and its weapons imports from Iran, condemns the group's goals, and emphasizes the humanitarian crisis in Gaza, urging people to focus on suffering rather than political allegiances.",Con,Richard Graham
"The politician argues there is no moral distinction between Hamas's attacks and Israeli military actions, criticizes Western inaction during cycles of violence, and condemns support for Hamas as undermining efforts to achieve a two-state solution.",SDLP,Mark Durkan
"The politician condemns Hamas's rocket attacks on Israel as violations of humanitarian law, criticizes Hamas for rejecting ceasefire offers and undermining peace efforts, supports Israel's right to self-defense while warning against actions that could erode international support, and insists that a Palestinian state should not be linked to Hamas's terrorist tactics, while acknowledging the unacceptable civilian casualties in Gaza.",Con,David Cameron
"The politician believes Hamas's refusal to halt rocket attacks is a major obstacle to resolving the conflict, criticizes the Foreign Secretary's analysis as one-sided, and argues that both Israeli settlements and Hamas's current position are problematic.",Con,John Howell
"The politician criticizes Hamas's actions and calls for change in its priorities, arguing that Hamas could be replaced by a more dangerous group like ISIL, while expressing concern about the humanitarian crisis in Gaza.",Con,Tobias Ellwood
"The politician questions Hamas's actions and the support for Hamas among some Palestinian students, while criticizing the Palestinian negotiating stance as unproductive and lacking in concessions.",Con,Crispin Blunt
"The politician believes Netanyahu will not support a Palestinian state acceptable to Palestinians, criticizes the lack of support for Palestinians despite Hamas's attacks, and opposes a law that prioritizes Israel's Jewish identity over democracy and minority rights.",Lab,Andy McDonald
"The politician views the Hamas-Fatah unity government as a setback to peace, criticizes Hamas for prioritizing rocket attacks over state-building, and links the 2005 Israeli withdrawal to Hamas's rise, which has worsened the humanitarian crisis in Gaza.",Con,Karl McCartney
