summary,party,speaker
ERROR: {str(e)},Con,Robert Halfon
ERROR: {str(e)},DUP,Nigel Dodds
ERROR: {str(e)},Con,Alistair Burt
ERROR: {str(e)},Lab,Richard Burden
ERROR: {str(e)},Con,James Arbuthnot
ERROR: {str(e)},Con,William Hague
ERROR: {str(e)},Con,Bob Blackman
ERROR: {str(e)},Lab,Ian Austin
ERROR: {str(e)},Lab,Louise Ellman
ERROR: {str(e)},Lab,John Woodcock
ERROR: {str(e)},Con,Stewart Jackson
ERROR: {str(e)},Lab,Jeremy Corbyn
ERROR: {str(e)},Lab,David Winnick
ERROR: {str(e)},Con,James Clappison
ERROR: {str(e)},Con,Andrew Percy
ERROR: {str(e)},Con,Alan Duncan
ERROR: {str(e)},Lab,Gerald Kaufman
ERROR: {str(e)},Con,Stephen O'Brien
ERROR: {str(e)},Con,Matthew Offord
ERROR: {str(e)},Lab,Ben Bradshaw
ERROR: {str(e)},LibDem,Menzies Campbell
ERROR: {str(e)},Lab,Lisa Nandy
ERROR: {str(e)},LibDem,Martin Horwood
ERROR: {str(e)},Lab,Alex Cunningham
ERROR: {str(e)},DUP,Jim Shannon
ERROR: {str(e)},Lab,Andrew Slaughter
ERROR: {str(e)},Con,Mike Freer
ERROR: {str(e)},LibDem,Jeremy Browne
ERROR: {str(e)},Lab,Douglas Alexander
ERROR: {str(e)},Lab,Michael McCann
ERROR: {str(e)},Lab,Mike Gapes
ERROR: {str(e)},Con,Bob Stewart
ERROR: {str(e)},Lab,Mark Hendrick
ERROR: {str(e)},Con,John Stanley
ERROR: {str(e)},Lab,Yasmin Qureshi
ERROR: {str(e)},Con,David Burrowes
ERROR: {str(e)},Lab,Jack Straw
ERROR: {str(e)},Con,Hugh Robertson
ERROR: {str(e)},Lab,Grahame M Morris
ERROR: {str(e)},Con,Richard Ottaway
ERROR: {str(e)},Con,Richard Graham
ERROR: {str(e)},SDLP,Mark Durkan
ERROR: {str(e)},Con,David Cameron
ERROR: {str(e)},Con,John Howell
ERROR: {str(e)},Con,Tobias Ellwood
ERROR: {str(e)},Con,Crispin Blunt
ERROR: {str(e)},Lab,Andy McDonald
ERROR: {str(e)},Con,Karl McCartney
