summary,party,speaker
"The politician advocates for the dismantling of Hamas in Gaza, rejects any recognition of a Palestinian state while Hamas remains in control, and believes that continued support for Hamas, including from Iran, is a significant obstacle to peace and security.",Con,Robert Halfon
"The politician believes Hamas and Hezbollah are dedicated to the complete destruction of Israel and the Jewish people, and is skeptical that recognizing a Palestinian state would deter such actions.",DUP,Nigel Dodds
"The politician advocates for a two-state solution based on mutual concessions from all parties – Israel, Hamas, and the Palestinian Authority – alongside a condemnation of Hamas’s actions and objections to Israeli policies impacting Palestinian communities.",Con,Alistair Burt
"The Foreign Secretary expresses deep concern regarding the humanitarian situation in Gaza, criticizes actions perceived as delegitimizing human rights organizations, and advocates for a two-state solution based on equality, arguing that current policies are undermining this possibility.",Lab,Richard Burden
The politician advocates for the establishment of a new Palestinian governing organisation that does not align with Hamas and prioritises holding fresh elections.,Con,James Arbuthnot
"The politician advocates for a strong condemnation of Hamas and Iranian support for militant groups, emphasizes the detrimental impact of Israeli settlements and restrictions on Palestinians, and believes these factors significantly impede a two-state solution and peaceful progress in the region.",Con,William Hague
"The politician advocates for strong condemnation of violence against civilians, supports Israeli Prime Minister Netanyahu's efforts to advance a peaceful settlement, and believes that Hamas and related groups actively undermine peace efforts by rejecting democratic processes and perpetuating attacks on Israel.",Con,Bob Blackman
"The Secretary of State believes Hamas is the primary obstacle to peace in the Middle East and condemns its actions, including terrorism, the use of civilian infrastructure for military purposes, and human rights abuses.",Lab,Ian Austin
"The politician advocates for unwavering support for Israel, views Hamas as a terrorist organization committed to Israel’s destruction, and believes that Hamas’ actions, including rocket attacks and rejection of a negotiated settlement, are the primary cause of the ongoing conflict and violence.",Lab,Louise Ellman
The Foreign Secretary believes Hamas’s commitment to Israel’s destruction disqualifies it from participating in any peace process and prioritizes adherence to the Quartet’s principles.,Lab,John Woodcock
"The Member advocates for a negotiated solution to the Israeli-Palestinian conflict involving all parties, including the United Nations and the European Union, rather than a direct rapprochement between Hamas and Fatah.",Con,Stewart Jackson
"The politician expresses concern regarding the humanitarian crisis in Gaza, criticizes Israeli actions including settlements and the blockade, and believes these factors significantly impede any possibility of a lasting peace agreement.",Lab,Jeremy Corbyn
The politician unequivocally opposes any engagement with Hamas and rejects its political ideology.,Lab,David Winnick
"The politician believes that Hamas’s actions, including its refusal to recognise Israel and the ongoing rocket attacks, constitute a fundamental obstacle to peace and is responsible for the humanitarian situation in Gaza.",Con,James Clappison
"The politician advocates for continued international pressure on Hamas to accept negotiations and restrain its actions, citing its attacks on Israel, use of civilians as human shields, and deliberate targeting of Israeli civilians as justification for a measured response.",Con,Andrew Percy
"The politician advocates for unrestricted access to Gaza for trade and humanitarian aid, believing that the current situation primarily supports Hamas and harms the Gazan population.",Con,Alan Duncan
"The politician expresses deep disapproval of Israeli actions towards Palestinians, highlighting civilian casualties, the escalating settlement movement, and the worsening humanitarian conditions in Gaza and East Jerusalem while acknowledging the complex perspectives of groups like Hamas.",Lab,Gerald Kaufman
"The politician advocates for easing Israel’s restrictions on Gaza, arguing they exacerbate the humanitarian crisis and support Hamas, while failing to achieve their intended goals.",Con,Stephen O'Brien
"The Minister believes that a lasting resolution to the conflict requires direct negotiations between Israel and the Palestinians addressing core issues such as security, borders, and settlements, rather than relying on UN declarations.",Con,Matthew Offord
"The politician advocates for decisive action, including a policy recalibration towards Israel, focused on halting the expansion of illegal settlements and moving beyond condemnation to concrete measures due to the Netanyahu government’s intransigence and impact on the humanitarian situation in Gaza.",Lab,Ben Bradshaw
The politician believes that continued Israeli settlement construction and the undermining of the Palestinian Authority contribute to the difficulty of achieving a peaceful resolution to the conflict and encourage violence.,LibDem,Menzies Campbell
The Secretary of State expressed concern regarding the impact of Israeli actions on humanitarian efforts in Palestine and called for Palestinian recognition as a step toward meaningful negotiations and a seat at the negotiating table.,Lab,Lisa Nandy
"The Member for Mid Sussex advocates for increased British support for democratic forces in the Middle East, criticizes the Netanyahu government’s actions and policies, and expresses concern that these actions could benefit extremist groups.",LibDem,Martin Horwood
"The Minister holds the view that Israeli policies regarding settlements and the control of Jerusalem are illegal under international law and are causing significant human suffering, specifically highlighting restrictions on Palestinian movement and property rights, and calling for action to prevent EU involvement in supporting these policies.",Lab,Alex Cunningham
"The politician opposes Palestinian statehood and enhanced recognition, asserting that Palestine continues to support Hamas terrorism and should not be granted increased international standing.",DUP,Jim Shannon
"The politician advocates for a strong condemnation of Israeli actions, including settlement expansion, human rights abuses against Palestinian prisoners, and the refusal to address the conditions necessary for meaningful negotiations, while expressing concern about the potential for continued civilian casualties and the expansion of Israeli control.",Lab,Andrew Slaughter
"The politician believes a lasting peace in the region is contingent upon Hamas accepting recognition of Israel, adherence to previous agreements, and renunciation of violence.",Con,Mike Freer
"The politician opposes the expansion of Israeli settlements and municipal boundary changes in Jerusalem, expressing concern that these actions undermine the possibility of a future Palestinian state and a shared capital solution.",LibDem,Jeremy Browne
"The politician advocates for continued negotiations between Israel and the Palestinian Authority, prioritizing deterrence over pleas for restraint and expressing concern that a lack of agreement will further fuel terrorism.",Lab,Douglas Alexander
The politician advocates for intensified peace talks following condemnation of Hamas’s actions and a recognition of the complex dangers posed by Iran’s regional influence.,Lab,Michael McCann
"The politician advocates for a non-interventionist approach to the Israeli-Palestinian conflict, expressing skepticism toward potential mediators and highlighting the complexities of regional instability.",Lab,Mike Gapes
"The politician advocates for Israel’s right to defend itself against Hamas, citing the organization’s actions, including rocket attacks and terrorism, as a violation of humanitarian law and a disregard for civilian lives.",Con,Bob Stewart
"The Foreign Secretary opposes the implementation of the E1 settlement plan, believing it would fatally undermine any possibility of a two-state solution and severely damage the humanitarian situation in Gaza.",Lab,Mark Hendrick
"The politician advocates for Israel’s security, condemns Hamas’ actions, and expresses concerns about the ongoing displacement of Palestinians and the potential for Gaza to remain an isolated area under Israeli control.",Con,John Stanley
"The politician expressed concern regarding human rights abuses and displacement of Palestinians, referencing the situation in Burma and the eviction of Palestinians from their homes in Jerusalem.",Lab,Yasmin Qureshi
"The politician advocates for a strong, uncompromising stance against Hamas, citing its actions of violence and rejection of negotiations, and believes there is no prospect for peace while Hamas remains in power.",Con,David Burrowes
"The politician advocates for a proportionate response to Hamas’ actions, expresses concern regarding the Israeli government’s actions resulting in civilian casualties, and suggests the UK and other nations should independently pursue conclusions if US efforts to mediate the conflict impede progress.",Lab,Jack Straw
"The politician advocates for a firm rejection of any dealings with Hamas, characterizing it as a terrorist organization, and expresses a demand for verifiable evidence before engaging in discussions with the Palestinian government.",Con,Hugh Robertson
"The politician advocates for a ceasefire, expressing concern that Israeli military action will exacerbate radicalization and suffering among Palestinians across the region, while highlighting the continued impact of the Israeli occupation and the stalled possibility of a Palestinian state.",Lab,Grahame M Morris
"The politician views Iran’s support for Hamas as a destabilizing force, undermining regional security and directly fueling aggression towards Israel.",Con,Richard Ottaway
"The politician advocates for a neutral, humanitarian approach to the conflict, specifically condemning Hamas and its support for the destruction of Israel.",Con,Richard Graham
The politician advocates for a cessation of violence from all parties involved in the conflict and criticizes both Hamas rocket attacks and Israeli military operations in Gaza as contributing to the ongoing humanitarian crisis.,SDLP,Mark Durkan
"The politician advocates for Israel’s right to self-defense against Hamas’s continued rocket attacks, emphasizing the unacceptable loss of civilian lives while maintaining that support for a two-state solution does not equate to support for Hamas’s actions.",Con,David Cameron
"The politician advocates for continued pressure on Hamas, acknowledges Israel’s settlement policy, and rejects a resolution to the conflict that does not address Hamas’s ongoing actions.",Con,John Howell
"The politician advocates for a decisive response to Hamas, expressing concern about the potential for a more extreme group, such as ISIL, to take its place.",Con,Tobias Ellwood
The politician believes Hamas’s actions are inexplicable and that the Palestinian negotiating position is entirely without substance.,Con,Crispin Blunt
The politician opposes unconditional support for Benjamin Netanyahu’s government and expresses concern regarding the impact of Israeli policies and Hamas’ actions on the Palestinian people.,Lab,Andy McDonald
"The politician believes that Hamas’s actions, including its takeover of Gaza and ongoing rocket attacks, actively hinder any possibility of peace and development for Palestinians.",Con,Karl McCartney
