summary,party,speaker
"The politician believes the primary cause of fuel poverty is inefficient housing and rising energy prices, rather than relying on speculative measures like windfall profits.",LibDem,Roger Williams
"The politician opposes government policies promoting renewable energy and unconventional energy sources like fracking, citing negative impacts on local jobs and community concerns.",Lab,Ian Lucas
"The politician believes the UK government should retain control over energy policy, including renewable energy, rather than allowing devolved decision-making by regional authorities.",Lab,Huw Irranca-Davies
"The politician opposes policies that reduce energy efficiency measures, arguing they will worsen fuel poverty and are not a genuine solution to rising energy costs.",Lab,Jonathan Reynolds
"The politician advocates for increased government intervention in energy pricing, supports a diverse energy mix including nuclear and tidal power, and expresses concern regarding the lack of progress on energy security and consumer protection.",Lab,Albert Owen
"The politician opposes prioritizing electrification for coastal communities like Plymouth, citing long-term delays and unresolved infrastructure concerns.",Lab,Alison Seabeck
"The politician opposes the development of fossil fuels, particularly shale gas, and supports investment in renewable energy sources to mitigate climate change.",GPEW,Caroline Lucas
The politician believes the government’s policies are exacerbating the cost-of-living crisis and hindering efforts to improve home energy efficiency.,Lab,Emma Lewell-Buck
"The politician advocates for increased domestic energy production, particularly nuclear and shale gas, and opposes measures that could reduce investment in existing energy infrastructure.",Con,Christopher Pincher
"The politician opposes investment in low-carbon energy sources and renewable technologies, citing concerns about energy security, economic impact, and policy inconsistencies.",Lab,Julie Elliott
"The politician opposes ambitious European targets for renewable energy, prioritizing support for a diverse range of energy technologies and seeking to avoid increases in electricity prices.",Con,Michael Fallon
"The politician advocates for a single, regulated energy market for Scotland and the UK, prioritizing consumer access to affordable energy supplies.",Lab,Fiona O'Donnell
The politician opposes shale gas extraction due to concerns about its impact on communities and property values.,Lab,Barbara Keeley
"The politician supports expanding fossil fuel extraction, particularly shale gas, believing it will boost economic growth and lower energy prices while minimizing support for EU climate policies.",Con,David Lidington
"The politician advocates for a cautious, technology-dependent approach to energy policy, prioritizing economic growth and consumer affordability over ambitious, immediate decarbonization targets.",Con,David Cameron
The Minister believes solar farms should be located on previously developed land rather than prime agricultural areas.,Con,Brooks Newmark
"The politician opposes policies supporting fossil fuel extraction, particularly fracking, and expresses concern regarding the lack of consideration for climate change impacts and potential environmental risks.",Lab,Joan Walley
"The politician advocates for a new, independent consumer regulator for the energy market to protect households from overcharging and prioritize customer interests.",Con,Robert Halfon
The politician advocates for a Labour government to address the cost of living crisis by challenging energy monopolies.,Lab,Anas Sarwar
The politician believes the government is failing to adequately support affected industries and is concerned about concessions being made regarding compensation for carbon pricing costs.,Lab,Derek Twigg
"The politician expresses skepticism towards government-led green energy initiatives, prioritizing market-based investment and questioning the effectiveness and cost of existing schemes while highlighting concerns about investment in renewables and offshore wind.",SNP,Michael Weir
"The politician expresses concern over government inaction regarding renewable energy investment, shifting green taxes, and failures within the energy sector, particularly regarding consumer protection and the potential overestimation of fracking.",Lab,Nia Griffith
The Member believes energy market reforms and a price freeze are unnecessary to address the cost of living crisis.,Lab,William Bain
The Prime Minister believes the government has responded too slowly and insufficiently to rising energy costs.,Lab,Stephen Doughty
"The politician opposes the widespread development of onshore wind farms, particularly in areas of natural beauty, and expresses concern about prioritizing wind energy over other considerations.",Con,Glyn Davies
"The politician opposes investment in renewable energy projects, particularly wind turbines, and prioritizes maintaining the profits of existing energy companies.",Lab,Diana Johnson
The politician advocates for increased investment in renewable energy sources and greater community benefits associated with green energy projects.,Lab,Barry Sheerman
The politician opposes large-scale solar farms on agricultural land and prioritizes maintaining existing energy subsidies.,Con,James Gray
The politician opposes changes to green energy levies that have negatively impacted energy efficiency schemes and local jobs.,Lab,Lilian Greenwood
"The politician expresses skepticism regarding ambitious renewable targets and prioritizes continued investment in gas-fired power stations and carbon capture and storage, while acknowledging potential future challenges to energy affordability.",Con,Tim Yeo
"The politician opposes policies promoting renewable energy and prioritizes established energy sources, particularly biomass, while expressing skepticism towards proposed climate solutions.",Con,Andrew Percy
"The politician believes high energy prices are primarily driven by the adoption of environmentally friendly technologies, rather than overall corporate profits.",Con,John Redwood
"The politician prioritizes bolstering renewable energy sources, particularly offshore wind, and criticizes the government’s inconsistent approach to energy policy.",Lab,Mark Lazarowicz
"The politician opposes policies supporting renewable energy and carbon reduction, expressing concern about the impact of levies and advocating for continued investment in fossil fuels.",Lab,Alan Whitehead
"The politician prioritizes affordable energy solutions for low-income households, expressing concern about the impact of climate policies on vulnerable customers and the complexities of accessing existing energy assistance schemes.",Con,Sarah Newton
