summary,party,speaker
"This politician believes tackling fuel poverty requires improving the energy efficiency of homes, rather than just focusing on fuel prices.",LibDem,Roger Williams
"This politician opposes the government's current approach to climate change and energy policy, criticizes government renewable energy policies for negatively impacting jobs, questions the effectiveness of green energy schemes, opposes government plans for shale gas extraction on grounds of sustainability and lack of local community benefits, and emphasizes the need for local community rights and sustainable solutions.",Lab,Ian Lucas
"This politician believes Wales should have more control over its own energy and renewable energy decisions, including climate change policies. They are concerned about the UK falling behind in renewable energy development and oppose government decisions blocking applications for onshore wind projects.",Lab,Huw Irranca-Davies
"This politician believes climate policies should help reduce fuel poverty and improve home energy efficiency, even if it increases costs, and criticizes government plans that fail to effectively address these issues.",Lab,Jonathan Reynolds
"The politician prioritizes affordable and accessible energy, opposes carbon pricing mechanisms, expresses skepticism towards nuclear power, and supports renewable energy development to address energy security and climate change.",Lab,Albert Owen
"This politician believes climate change policies, like electrification, are being delayed and criticizes the government for not addressing practical obstacles sooner.",Lab,Alison Seabeck
"This politician believes the UK must leave vast majority of fossil fuels underground to avoid catastrophic climate change. They oppose fossil fuel exploration like shale gas, arguing it contradicts climate goals and ignores scientific advice. They strongly support renewable energy and energy efficiency as the solutions to reduce emissions and combat climate change.",GPEW,Caroline Lucas
"This politician believes government policies have hindered effective action on climate change, specifically opposing measures like energy price freezes and insulation programs that could reduce emissions and lower energy costs for vulnerable people.",Lab,Emma Lewell-Buck
This politician opposes carbon taxes as they increase consumer bills and wants to invest in domestic energy sources like nuclear and shale gas to reduce reliance on imported fuels and lower energy prices. They also want to maintain current energy market rules to encourage competition.,Con,Christopher Pincher
"This politician believes the government has failed to invest sufficiently in low-carbon energy, lacks clear decarbonisation targets, and has created uncertainty harming investment. They argue government policies on energy efficiency and renewables are inadequate, bureaucratic, and lack credible targets, contributing to the UK falling behind other countries.",Lab,Julie Elliott
"This politician opposes policies that would significantly increase renewable energy targets or funding mechanisms, such as the levies supporting renewable energy and energy efficiency, arguing these measures raise costs and are not necessary.",Con,Michael Fallon
"The politician prioritizes addressing fuel poverty through regulatory action and market oversight, questioning government inaction and seeking specific measures from bodies like Ofgem to help vulnerable consumers, including those not connected to the gas grid, while also considering renewable energy options within a regulated market framework.",Lab,Fiona O'Donnell
"This politician opposes the use of shale gas due to negative impacts on communities, criticizing the government's prioritization of shale gas over local concerns.",Lab,Barbara Keeley
"This politician opposes climate change policies that hinder economic interests, particularly those that increase energy costs or restrict industries like shale gas, which they believe benefit businesses, consumers, and employment.",Con,David Lidington
"This politician believes fossil fuels like shale gas should be used if they are cheaper and supports developing carbon capture technology. They oppose EU climate targets and national decarbonization goals, arguing they increase energy costs and restrict national control over energy policy. They also criticize the lack of progress on nuclear power.",Con,David Cameron
"This politician opposes using agricultural land for solar farms, believing it should be reserved for brownfield sites and commercial/industrial areas, and criticizes the lack of effective enforcement against developers.",Con,Brooks Newmark
