summary,party,speaker
"The politician prioritizes improving home energy efficiency to address fuel poverty, arguing that low-income households, high energy prices, and poorly insulated homes are interconnected causes. They oppose relying on price cuts or windfall profits to solve the issue, emphasizing that long-term solutions require tackling energy inefficiency in housing.",LibDem,Roger Williams
"The politician supports renewable energy but criticizes the government's policies for failing to support local projects like Sharp solar, leading to job losses. They oppose fracking as unsustainable and demand transparency on community benefits, while advocating for local communities' rights in energy decisions.",Lab,Ian Lucas
"The politician supports devolving energy decision-making to Wales to allow local control over renewable energy projects and criticizes the UK government's handling of the renewables industry, highlighting concerns about declining investment and bureaucratic barriers to onshore wind development.",Lab,Huw Irranca-Davies
"The politician argues that current government policies fail to address fuel poverty and energy costs effectively, criticizes the lack of investment in insulation and efficiency measures, and questions the link between renewable energy policies and rising energy bills.",Lab,Jonathan Reynolds
"The politician advocates for affordable energy, criticizes high charges on non-direct debit payments, supports off-grid communities, opposes nuclear power and the carbon price floor, promotes renewable energy like tidal power, and calls for government intervention to lower energy costs and improve transparency.",Lab,Albert Owen
"The politician argues that electrification's benefits for reducing carbon emissions are delayed due to infrastructure challenges like the Dawlish line, and urges immediate government action to address climate change rather than deferring responsibility.",Lab,Alison Seabeck
"The politician opposes shale gas and other fossil fuel development, arguing that leaving most fossil fuels underground is essential to avoid catastrophic climate change, criticizes government policies that weaken renewable energy incentives and energy efficiency standards, and supports prioritizing renewable energy and community-led projects to reduce emissions and lower energy bills.",GPEW,Caroline Lucas
"The politician argues that the government's failure to freeze energy prices exacerbates the cost-of-living crisis and harms vulnerable people, advocating for Labour's energy price freeze and criticizing the government's energy policies for reducing home insulation programs, which worsens energy costs for low-income households.",Lab,Emma Lewell-Buck
"The politician opposes carbon taxes that raise consumer energy bills, prioritizes domestic energy sources like nuclear and shale gas to reduce reliance on imported fuels, and supports maintaining fair market conditions to prevent monopolies while protecting energy security and stable pricing.",Con,Christopher Pincher
"The politician criticizes the government for insufficient investment in low-carbon energy, ineffective fuel poverty programs, and delays in renewable projects, arguing these actions harm energy security, jobs, and credibility, while calling for stronger policy targets and reduced political conflicts.",Lab,Julie Elliott
The politician opposes expanding renewable energy targets due to concerns about rising electricity costs and supports maintaining existing renewable technologies while avoiding additional financial burdens on consumers.,Con,Michael Fallon
"The politician criticizes the government's inaction on fuel poverty, calls for better monitoring of energy access, and supports Scotland's potential role in a renewable energy market.",Lab,Fiona O'Donnell
"The politician opposes the government's prioritization of shale gas development over community concerns, criticizing the lack of balance in the relationship between officials and industry and highlighting negative impacts on residents.",Lab,Barbara Keeley
"The politician opposes EU climate measures that burden businesses and consumers, supports fossil fuel development for cheaper energy and job creation, and advocates for removing EU regulations that impose high costs on businesses without clear benefits.",Con,David Lidington
"The politician supports using shale gas as an energy source, opposes immediate full decarbonization of the energy sector without proven carbon capture technology, and criticizes EU-imposed climate targets for increasing costs and hindering economic growth while prioritizing affordable energy solutions.",Con,David Cameron
"The politician opposes using agricultural land for solar farms, advocating instead for brownfield sites and commercial/industrial rooftops, but acknowledges that current policies are ineffective in preventing developers from converting high-quality farmland into solar installations.",Con,Brooks Newmark
"The politician opposes weakening local government obligations to reduce carbon emissions, criticizes the lack of clarity on the fourth carbon budget, and argues that fracking regulations are inadequate, posing risks to property and climate goals while failing to meet IPCC recommendations on reducing emissions.",Lab,Joan Walley
"The politician criticizes the current energy market for inefficiency, high prices, and consumer dissatisfaction, advocating for replacing the existing regulator with a stronger consumer watchdog to protect households from overcharging and ensure fair practices.",Con,Robert Halfon
"The politician opposes big energy companies, advocates for freezing energy bills and breaking up their monopoly, and supports returning a Labour government to implement these measures to address the cost of living crisis.",Lab,Anas Sarwar
"The politician criticizes the government's handling of energy costs and demands an urgent debate to address delays in securing compensation for industries affected by the carbon floor price, expressing concern that the government may compromise on backdating compensation.",Lab,Derek Twigg
"The politician believes current government policies are failing to drive investment in renewable energy and reduce carbon emissions, criticizing market-driven approaches and ineffective schemes like the green deal, while expressing skepticism about fracking and advocating for stronger government intervention to ensure affordable, reliable green energy.",SNP,Michael Weir
"The politician criticizes the government for failing to support renewable energy, allowing energy companies to profit while shifting green taxes to consumers, and for creating uncertainty and neglect in sectors like wind and solar power. They also express concerns about regulatory failures, the overestimation of fracking's viability, and the negative impact of carbon pricing policies on energy markets.",Lab,Nia Griffith
"The politician supports increased investment in renewable energy through the UK Green Investment Bank but opposes current Labour proposals for energy price freezes, arguing they are necessary to alleviate the cost of living crisis while urging the government to prioritize energy affordability over climate policies.",Lab,William Bain
"The politician criticizes the government for failing to adequately address rising energy prices, arguing that current measures are insufficient to protect households from energy company profits and calls for stronger action to freeze prices.",Lab,Stephen Doughty
"The politician opposes onshore wind farms in mid-Wales due to environmental and democratic concerns, criticizes the focus on this type of renewable energy as leading to anti-renewable perceptions, and highlights economic concerns for companies.",Con,Glyn Davies
"The politician supports green energy jobs in Hull, criticizes the coalition for prioritizing energy company profits over public health and vulnerable people, and advocates for keeping local industries like Siemens to prevent job losses and protect energy affordability.",Lab,Diana Johnson
"The politician criticizes the government's insufficient green energy initiatives, highlights reliance on foreign investment for nuclear power, and calls for greater community incentives and transparency in renewable energy projects to align with public support for urgent climate action.",Lab,Barry Sheerman
"The politician opposes large-scale solar farms on agricultural land, argues that current planning rules do not adequately reflect this stance, and highlights issues with subsidy eligibility for certain energy users.",Con,James Gray
"The politician opposes recent government changes to energy company obligations and green deal funding, arguing they harm energy efficiency programs, local jobs, and households by increasing costs and reducing access to necessary insulation schemes. They criticize the lack of consultation and impact assessments, and call for policies that support both climate goals and economic recovery without burdening consumers or businesses.",Lab,Lilian Greenwood
"The politician advocates for a balanced approach to energy policy, supporting gas as a transitional fuel if fracking can overcome community resistance, while emphasizing the need for transparent and realistic planning on energy costs and long-term gas price assumptions. They express skepticism about meeting renewable energy targets without sufficient low-carbon generation and stress the importance of honest communication about rising energy bills. The politician also highlights the current economic unviability of carbon capture and storage (CCS) and warns against relying on it as a near-term solution, urging governments to avoid unrealistic assumptions about its availability.",Con,Tim Yeo
"The politician supports renewable energy transition but criticizes delays in approving shovel-ready projects like biomass conversion, while opposing ineffective policies such as the energy price freeze.",Con,Andrew Percy
"The politician argues that high energy bills are caused by the cost of adopting low-carbon technology, which is making the UK less competitive in global markets and increasing costs for consumers.",Con,John Redwood
"The politician supports renewable energy investment, criticizes government inconsistency and market failures hindering offshore wind and marine renewables, and advocates for protecting vulnerable households from energy cost impacts while opposing reliance on fracking.",Lab,Mark Lazarowicz
"The politician criticizes the Levy Control Framework for undermining renewable energy programs, increasing costs for residents, and failing to address long-term climate goals, while also questioning the viability of shale gas as a sustainable energy solution.",Lab,Alan Whitehead
"The politician supports climate measures to reduce emissions but criticizes policies that fail to support low-income households, as they are making it harder for fuel-poor off-grid customers to access affordable heating solutions.",Con,Sarah Newton
"The politician opposes aggressive renewable energy use due to rising costs, doubts claims of imminent global warming, fears smart meters enable energy companies to cut off supply, and rejects nuclear power as a viable decarbonization solution.",Con,David Davies
"The politician argues that the EU's focus on renewable energy over carbon reduction has misallocated funds, supports carbon capture and storage as a better solution than renewables, doubts the price benefits of shale gas and fracking, and advocates for nuclear power as part of decarbonization while seeking to avoid low renewable energy rankings in the EU.",Con,David Mowat
"The politician criticizes energy companies for failing to reduce consumer bills, prioritizing profits from gas sales over energy efficiency, and highlights government inaction on competition reforms, arguing these policies exacerbate fuel poverty and hinder progress on energy efficiency.",Lab,Graham Jones
"The politician criticizes current UK energy policies for failing to address fuel poverty and energy inefficiency, calls for stronger measures to meet climate goals, and expresses concern over bureaucratic and political barriers hindering renewable energy projects.",Lab,Kerry McCarthy
The politician argues that certain climate policies unfairly burden lower-income households and claims the opposition's rejection of such measures would have led to higher energy costs.,Con,Gregory Barker
"The politician criticizes the current system for allowing renewable energy projects, particularly wind turbines, to be approved without proving their necessity or benefits, leading to unfair energy costs and public opposition. They argue for stricter scrutiny of such projects to ensure they genuinely contribute to renewable energy goals and do not disproportionately burden low-income households.",Con,Geoffrey Cox
"The politician opposes wind turbines due to their inefficiency, over-subsidization, planning disputes, and lack of community benefits, arguing that removing financial incentives would reduce projects and that local involvement is key to public acceptance.",Con,Neil Parish
"The politician criticizes the government's lack of support for green businesses and renewable energy, highlights the UK's decline in green investment and wind energy rankings, and argues that insufficient government action has led to job losses and industries moving abroad, while calling for stronger leadership in renewable energy and addressing energy price issues.",Lab,Andy Sawford
"The politician criticizes the government's failure to deliver promised compensation to energy-intensive industries under climate policies, expresses skepticism about the effectiveness of renewable energy subsidies, and advocates for cautious, regulated shale gas exploration in the UK while emphasizing the need for public consent and transparency.",Lab,Tom Greatrex
"The politician criticizes the government's lack of support for low-carbon technology leadership, argues the budget undermines renewable energy investment, and opposes the carbon price floor policy for harming UK industries and failing to address carbon leakage.",Lab,Iain Wright
The politician criticizes the big six energy companies for failing to reduce energy bills despite lower wholesale prices and calls for regulatory action to hold them accountable.,Lab,Chris Leslie
"The politician opposes shale gas development without strict safety regulations and independent oversight, criticizing companies for inconsistent positions on the issue.",Con,Mark Menzies
The politician criticizes inconsistent accounting by major energy firms and questions the fairness of subsidizing onshore wind due to its high cost.,Lab,Barry Gardiner
"The politician supports smart metering for energy efficiency but opposes the expansion of wind turbines and solar farms, citing concerns about their visual impact and local overuse.",Con,Ian Liddell-Grainger
"The politician criticizes energy companies for failing to pass on cost savings to consumers, highlights government inaction on energy price freezes and insufficient support for renewable energy and energy efficiency, and expresses concern over the impact on fuel poverty, energy security, and investment in clean energy.",Lab,Caroline Flint
"The politician criticizes Labour's energy policies for failing to address rising bills and underinvestment, supports regulatory measures for energy security, and highlights the need for green energy while opposing excessive government intervention, while also criticizing both major parties for anti-competitive practices and opposition to renewables or nuclear power.",LibDem,Edward Davey
"Simon Hughes opposes nuclear power due to its high costs, delays, and EU subsidy restrictions, citing safety concerns and the rejection of nuclear energy by countries like Germany.",Lab,Paul Flynn
"The politician argues that current UK energy policies are unclear and ineffective, as evidenced by energy companies reporting losses, and calls for a more coherent strategy to address both economic and climate challenges.",Con,Phillip Lee
The politician prioritizes supporting energy company profits over addressing the financial struggles of low-income households struggling to afford heating.,Lab,Andrew Slaughter
"The politician criticizes the UK government for failing to compensate energy-intensive companies for carbon costs, highlighting a lack of investment in clean energy and questioning whether the government has abandoned promised financial support for businesses affected by carbon pricing measures.",Lab,Catherine McKinnell
"The politician supports domestic shale gas over imported liquefied natural gas (LNG), arguing that domestic shale gas has lower emissions and generates jobs and tax revenue, while imported LNG has higher emissions and provides no economic benefits.",Con,Dan Byles
"The politician opposes prioritizing fossil fuel investments over renewable energy, arguing that focusing on fossil fuels delays energy security and hinders the development of cleaner alternatives, which could provide reliable energy in the coming decades.",Lab,Kate Green
"The politician opposes Labour's energy policies, arguing they would increase energy bills, worsen fuel poverty, and fail to meet 2050 climate targets without costly sustainable biomass reliance.",Con,Chris Heaton-Harris
"The politician argues that climate policies must address energy affordability and economic impacts, opposing projects that raise costs or harm local industries without clear benefits.",Lab,Geraint Davies
"The politician argues that the energy market is failing to meet climate goals due to prioritizing short-term profits over long-term sustainability, leading to reduced investments in renewables and significant cuts to planned renewable energy projects.",Lab,Michael Connarty
"The politician supports renewable energy projects like wind farms but emphasizes the need to assess their impact on protected heritage sites, while also highlighting economic challenges such as high energy costs and industrial overcapacity affecting profitability and investment.",Con,Ed Vaizey
The politician opposes subsidizing offshore wind farms beyond the 12-mile limit and criticizes using public funds to both preserve heritage sites and support wind turbines that could damage other heritage sites.,Con,Christopher Chope
"The politician criticizes the government for abruptly removing solar panel subsidies, unilaterally implementing the carbon price floor without industry consultation, and failing to ensure energy companies pass on cost savings from green levies, arguing these actions harm the industry and undermine effective climate policy.",Lab,Tom Blenkinsop
"The politician argues that renewable energy sources like wind cannot fully replace fossil fuels and require additional conventional energy capacity to meet demand when renewables are unavailable, criticizes the government for not accounting for these backup costs in renewable energy planning, and highlights that taxpayers bear the financial burden while landowners benefit from fossil fuel profits.",Con,Peter Lilley
"The politician supports renewable energy for climate change and energy security, emphasizes involving local communities in planning, and criticizes past governments for insufficient renewable investment.",Con,Matt Hancock
The politician supports investing in low-carbon infrastructure using materials like cement and concrete but highlights the economic cost of such investments. They acknowledge the UK's carbon price floor aims to incentivize greener energy but argue it fails to reduce power generation emissions due to EU-wide caps.,Lab,Alex Cunningham
"The politician criticizes the UK government for inconsistent support for green energy, including dismissive remarks like ""green crap,"" which they argue undermines the country's appeal to renewable energy investors and risks losing jobs and industries to other nations.",Lab,Chi Onwurah
"The politician opposes government subsidies for renewable energy, arguing they make the economy less competitive and are unsustainable without support, while criticizing the failure of green energy initiatives like the green deal.",UKIP,Douglas Carswell
"The politician prioritizes immediate action over long-term carbon capture and storage solutions, acknowledges delays in implementing such technologies, and doubts the feasibility of rapidly transitioning major coal-reliant nations like China to renewable energy.",Lab,Ian Lavery
"The politician opposes shale gas as a viable energy solution, citing lack of evidence, environmental risks, and potential harm to climate goals, while advocating for renewable energy and criticizing government pro-fracking policies.",LibDem,Norman Baker
The politician criticizes the government's insufficient action on renewable energy obligations for energy-intensive industries and views the carbon floor price as an unfair tax on UK manufacturing that harms competitiveness.,Lab,Nicholas Dakin
"The politician criticizes the Bill for ignoring green energy, arguing it undermines the UK's economic competitiveness by failing to invest in renewable energy when other nations are advancing in this sector.",Lab,John Mann
The politician opposes fracking for shale gas due to environmental concerns and criticizes energy policies that prioritize short-term cost control over long-term climate sustainability.,Con,Anne McIntosh
